Texas Education Agency,,,,,,,,,,,,,,
2018-19 STAAR Performance (All Students),,,,,,,,,,,,,,
FLORESVILLE ISD (247901) - WILSON COUNTY,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,State,Region 20,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed","Econ
Disadv",EB/EL
"STAAR Performance Rates by Tested Grade, Subject, and Performance Level",,,,,,,,,,,,,,
Grade 3 Reading,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,75%,72%,65%,*,63%,68%,-,*,-,*,17%,58%,66%
,2018,77%,73%,73%,67%,70%,77%,*,*,-,80%,52%,64%,58%
At Meets Grade Level or Above,2019,44%,41%,33%,*,29%,42%,-,*,-,*,6%,29%,21%
,2018,43%,39%,38%,17%,35%,43%,*,*,-,80%,24%,32%,16%
At Masters Grade Level,2019,27%,24%,19%,*,16%,23%,-,*,-,*,0%,14%,14%
,2018,24%,21%,21%,17%,17%,25%,*,*,-,60%,4%,13%,5%
Grade 3 Mathematics,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,78%,75%,70%,*,67%,76%,-,*,-,*,28%,64%,59%
,2018,77%,73%,72%,67%,67%,82%,*,*,-,80%,60%,63%,68%
At Meets Grade Level or Above,2019,48%,44%,37%,*,34%,44%,-,*,-,*,6%,31%,31%
,2018,46%,42%,36%,50%,31%,41%,*,*,-,80%,32%,25%,21%
At Masters Grade Level,2019,24%,21%,13%,*,12%,16%,-,*,-,*,0%,10%,7%
,2018,22%,19%,12%,17%,9%,16%,*,*,-,40%,8%,7%,11%
Grade 4 Reading,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,74%,71%,62%,60%,58%,67%,*,*,*,*,30%,51%,50%
,2018,72%,69%,63%,60%,57%,73%,*,*,-,100%,36%,50%,54%
At Meets Grade Level or Above,2019,43%,40%,29%,0%,27%,37%,*,*,*,*,11%,20%,17%
,2018,45%,42%,40%,40%,34%,51%,*,*,-,43%,24%,27%,27%
At Masters Grade Level,2019,21%,19%,11%,0%,10%,14%,*,*,*,*,0%,6%,6%
,2018,23%,21%,19%,20%,12%,30%,*,*,-,43%,4%,10%,8%
Grade 4 Mathematics,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,74%,69%,66%,60%,61%,74%,*,*,*,*,41%,57%,89%
,2018,77%,74%,77%,20%,73%,84%,*,*,-,100%,60%,65%,81%
At Meets Grade Level or Above,2019,46%,41%,40%,40%,38%,45%,*,*,*,*,19%,29%,44%
,2018,48%,43%,45%,0%,42%,49%,*,*,-,86%,40%,34%,46%
At Masters Grade Level,2019,27%,23%,18%,0%,17%,21%,*,*,*,*,4%,11%,28%
,2018,26%,23%,19%,0%,18%,18%,*,*,-,57%,8%,14%,19%
Grade 4 Writing,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,66%,62%,52%,40%,49%,56%,*,*,*,*,22%,41%,44%
,2018,62%,58%,56%,60%,53%,61%,*,*,-,57%,32%,41%,50%
At Meets Grade Level or Above,2019,34%,31%,22%,0%,22%,21%,*,*,*,*,11%,14%,22%
,2018,38%,35%,33%,40%,27%,42%,*,*,-,43%,20%,23%,23%
At Masters Grade Level,2019,11%,8%,4%,0%,4%,5%,*,*,*,*,0%,2%,11%
,2018,11%,9%,5%,0%,3%,7%,*,*,-,29%,0%,2%,4%
Grade 5 Reading+,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,86%,84%,84%,*,81%,87%,*,*,-,*,42%,75%,86%
,2018,83%,82%,86%,*,84%,91%,-,*,-,83%,43%,80%,75%
At Meets Grade Level or Above,2019,53%,49%,48%,*,43%,60%,*,*,-,*,23%,36%,48%
,2018,53%,51%,46%,*,41%,57%,-,*,-,67%,10%,33%,25%
At Masters Grade Level,2019,29%,26%,27%,*,18%,41%,*,*,-,*,10%,16%,14%
,2018,26%,24%,23%,*,19%,30%,-,*,-,33%,0%,12%,0%
Grade 5 Mathematics+,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,89%,87%,93%,*,92%,94%,*,*,-,*,90%,88%,95%
