Texas Education Agency,,,,,,,,,,,,,,
2022-23 STAAR Performance (All Students),,,,,,,,,,,,,,
FLORESVILLE ISD (247901) - WILSON COUNTY,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,State,Region 20,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed","Econ
Disadv",EB/EL
"STAAR Performance Rates by Tested Grade, Subject, and Performance Level",,,,,,,,,,,,,,
Grade 3 Reading,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2023,75%,73%,67%,*,64%,73%,-,*,*,86%,39%,58%,64%
,2022,76%,73%,75%,*,72%,79%,-,-,-,*,50%,69%,57%
At Meets Grade Level or Above,2023,49%,46%,37%,*,33%,40%,-,*,*,86%,24%,28%,39%
,2022,50%,48%,49%,*,46%,52%,-,-,-,*,25%,38%,26%
At Masters Grade Level,2023,19%,16%,13%,*,11%,12%,-,*,*,43%,0%,10%,11%
,2022,29%,28%,28%,*,24%,32%,-,-,-,*,13%,18%,13%
Grade 3 Mathematics,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2023,72%,69%,61%,*,54%,74%,-,*,*,86%,42%,51%,57%
,2022,70%,66%,63%,*,58%,73%,-,-,-,*,38%,52%,65%
At Meets Grade Level or Above,2023,44%,40%,33%,*,27%,40%,-,*,*,71%,21%,25%,29%
,2022,42%,38%,30%,*,28%,35%,-,-,-,*,22%,21%,22%
At Masters Grade Level,2023,18%,16%,12%,*,9%,13%,-,*,*,43%,0%,8%,7%
,2022,20%,17%,9%,*,7%,12%,-,-,-,*,6%,6%,9%
Grade 4 Reading,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2023,76%,75%,75%,80%,74%,73%,-,*,*,100%,38%,68%,62%
,2022,76%,74%,70%,80%,69%,71%,*,*,-,60%,37%,64%,35%
At Meets Grade Level or Above,2023,47%,45%,41%,60%,34%,53%,-,*,*,80%,24%,27%,15%
,2022,53%,51%,47%,60%,41%,58%,*,*,-,40%,17%,38%,17%
At Masters Grade Level,2023,21%,19%,16%,40%,13%,22%,-,*,*,60%,5%,10%,4%
,2022,28%,25%,19%,20%,15%,28%,*,*,-,20%,7%,14%,4%
Grade 4 Mathematics,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2023,69%,65%,69%,40%,63%,83%,-,*,*,80%,38%,60%,63%
,2022,68%,64%,64%,60%,57%,81%,*,*,-,40%,33%,58%,57%
At Meets Grade Level or Above,2023,47%,42%,45%,20%,40%,57%,-,*,*,80%,17%,36%,30%
,2022,42%,37%,32%,20%,27%,42%,*,*,-,40%,10%,27%,22%
At Masters Grade Level,2023,21%,17%,19%,20%,15%,29%,-,*,*,20%,5%,13%,11%
,2022,22%,19%,16%,20%,12%,26%,*,*,-,20%,3%,11%,9%
Grade 5 Reading,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2023,80%,79%,76%,*,73%,84%,*,*,-,71%,37%,68%,64%
,2022,80%,78%,75%,75%,68%,87%,-,*,-,100%,52%,64%,40%
At Meets Grade Level or Above,2023,56%,54%,49%,*,44%,61%,*,*,-,57%,23%,37%,25%
,2022,57%,54%,52%,50%,45%,65%,-,*,-,78%,24%,42%,20%
At Masters Grade Level,2023,28%,26%,21%,*,18%,28%,*,*,-,29%,3%,12%,4%
,2022,36%,33%,32%,25%,26%,42%,-,*,-,67%,7%,26%,7%
Grade 5 Mathematics,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2023,79%,78%,80%,*,74%,94%,*,*,-,86%,68%,71%,68%
,2022,76%,73%,76%,50%,72%,83%,-,*,-,100%,55%,68%,60%
At Meets Grade Level or Above,2023,50%,48%,44%,*,37%,58%,*,*,-,57%,24%,37%,25%
,2022,47%,43%,44%,25%,37%,58%,-,*,-,67%,28%,35%,27%
At Masters Grade Level,2023,21%,20%,17%,*,12%,24%,*,*,-,29%,6%,13%,11%
,2022,24%,22%,23%,13%,18%,32%,-,*,-,44%,7%,15%,13%
Grade 5 Science,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2023,64%,62%,68%,*,61%,84%,*,*,-,57%,37%,59%,43%
